title,year,venue,coauthors,cited_by_count,link
Data use in social science and medical articles around the world,2025,PNAS Nexus,"Lucas Kitzmüller, Xiaoyu Wang, Daniel Gerszon Mahler, Umar Serajuddin",0,https://doi.org/10.1093/pnasnexus/pgaf196
Statistical performance indicators and index—a new tool to measure country statistical capacity,2023,Scientific Data,"Hai‐Anh Dang, John Pullinger, Umar Serajuddin",33,https://doi.org/10.1038/s41597-023-01971-0
The Role of Generic Price Look-Up Code in WIC Benefit Redemptions,2022,Journal of Public Policy & Marketing,"Junzhou Zhang, Qi Zhang, Chuanyi Tang, Kayoung Park, Kristina Harrison, Patrick W. McLaughlin",6,https://doi.org/10.1177/07439156221092418
Will Every Child be Able to Read by 2030? Defining Learning Poverty and Mapping the Dimensions of the Challenge,2021,"World Bank, Washington, DC eBooks","Diana Goldemberg, João Pedro Azevedo, Silvia Montoya, Reema Nayar, Halsey Rogers, Jaime Saavedra",26,https://doi.org/10.1596/1813-9450-9588
"Women, Infants, and Children Cash Value Benefit Redemption Choices in the Electronic Benefit Transfer Era",2021,American Journal of Health Promotion,"Qi Zhang, Junzhou Zhang, Kayoung Park, Chuanyi Tang, Patrick W. McLaughlin",11,https://doi.org/10.1177/08901171211045804
Comparing and assessing the consequences of two different approaches to measuring school effectiveness,2019,Educational Assessment Evaluation and Accountability,"Cassandra M. Guarino, Jeffrey M. Wooldridge",7,https://doi.org/10.1007/s11092-019-09308-5
The Supplemental Nutrition Assistance Program (SNAP) and the Economy: New Estimates of the SNAP Multiplier,2019,"AgEcon Search (University of Minnesota, USA)",Patrick Canning,13,https://doi.org/10.22004/ag.econ.291963
Does the precision and stability of value-added estimates of teacher performance depend on the types of students they serve?,2018,Economics of Education Review,"Cassandra M. Guarino, Jeffrey M. Wooldridge",0,https://doi.org/10.1016/j.econedurev.2018.04.001
ERS’s Supplemental Nutrition Assistance Program Policy Index Captures State Differences in Program Administration,2018,"AgEcon Search (University of Minnesota, USA)",Laura Tiehen,0,https://doi.org/10.22004/ag.econ.302494
Trends in Breastfeeding Disparities in US Infants by WIC Eligibility and Participation,2018,Journal of Nutrition Education and Behavior,"Qi Zhang, Rajan Lamichhane, Mia Wright, Patrick W. McLaughlin",20,https://doi.org/10.1016/j.jneb.2018.10.005
Using a Policy Index To Capture Trends and Differences in State Administration of USDA's Supplemental Nutrition Assistance Program,2018,"AgEcon Search (University of Minnesota, USA)","Laura Tiehen, D. Marquardt, Marquardt, David",19,https://doi.org/10.22004/ag.econ.276250
"Enrollment without Learning: Teacher Effort, Knowledge, and Skill in Primary Schools in Africa",2017,The Journal of Economic Perspectives,"Tessa Bold, Deon Filmer, Gayle Martin, Ezequiel Molina, Christophe Rockmore, Jakob Svensson, Waly Wane",196,https://doi.org/10.1257/jep.31.4.185
The Downs and Ups of the SNAP Caseload: What Matters?,2016,SSRN Electronic Journal,"Katie Fitzpatrick, Laura Tiehen",9,https://doi.org/10.2139/ssrn.3052570
A Comparison of Student Growth Percentile and Value-Added Models of Teacher Performance,2015,Statistics and Public Policy,"Cassandra M. Guarino, Mark D. Reckase, Jeffrey M. Wooldridge",46,https://doi.org/10.1080/2330443x.2015.1034820
Evaluating Specification Tests in the Context of Value-Added Estimation,2015,Journal of Research on Educational Effectiveness,"Cassandra M. Guarino, Mark D. Reckase, Jeffrey M. Wooldridge",16,https://doi.org/10.1080/19345747.2014.981905
Left with Bias? Quantile Regression with Measurement Error in Left Hand Side Variables,2014,Econstor (Econstor),,0,http://hdl.handle.net/10419/104744
Ranking Teachers when Teacher Value-Added is Heterogeneous Across Students,2014,Econstor (Econstor),,0,http://hdl.handle.net/10419/104743
Three essays in labor economics and the economics of education,2014,Michigan State University Libraries,,0,https://doi.org/10.25335/m5qz20
Review of Gathering Feedback for Teaching: Combining High-Quality Observation with Student Surveys and Achievement Gains,2012,N/A,Cassandra Guarina,4,https://nepc.colorado.edu/files/TTR-MET-Gates_0.pdf
"Test Score Measurement Error, Short-Term Knowledge, and Lagged Dependent Variables in Models of the Education Production Function.",2012,Society for Research on Educational Effectiveness,"J. R. Lockwood, Daniel F. McCaffrey",0,http://files.eric.ed.gov/fulltext/ED530364.pdf
